Coalition,t (event index),Pruning,Shapley Value
Sum of contribution of events ≤ t,-203,1,0.12521619534306228
Sum of contribution of events > t,-204,1,0.0010650854334235192
Sum of contribution of events ≤ t,-204,1,0.12516844848915934
Sum of contribution of events > t,-205,1,0.0010437754355371
Sum of contribution of events ≤ t,-205,1,0.1251208749935031
Sum of contribution of events > t,-206,1,0.0010260418374091387
Sum of contribution of events ≤ t,-206,1,0.12507347945682704
Sum of contribution of events > t,-207,1,0.001011762833222747
Sum of contribution of events ≤ t,-207,1,0.12502627569250763
Sum of contribution of events > t,-208,1,0.0010006580147892236
Sum of contribution of events ≤ t,-208,1,0.12497926397807896
Sum of contribution of events > t,-209,1,0.0009923160560429097
Sum of contribution of events ≤ t,-209,1,0.12493247405812144
Sum of contribution of events > t,-210,1,0.0009864368587732316
Sum of contribution of events ≤ t,-210,1,0.12488591792806983
Sum of contribution of events > t,-211,1,0.000982775628566742
Sum of contribution of events ≤ t,-211,1,0.12483961081132293
Sum of contribution of events > t,-212,1,0.0009810936115682125
Sum of contribution of events ≤ t,-212,1,0.12479356045275927
Sum of contribution of events > t,-213,1,0.0009816382098942996
Sum of contribution of events ≤ t,-213,1,0.12474779649637639
Sum of contribution of events > t,-214,1,0.0009838994722813368
Sum of contribution of events ≤ t,-214,1,0.12470231751911343
Sum of contribution of events > t,-215,1,0.0009875733722001314
Sum of contribution of events ≤ t,-215,1,0.12465713953785598
Sum of contribution of events > t,-216,1,0.0009924563951790332
Sum of contribution of events ≤ t,-216,1,0.12461227008700371
Sum of contribution of events > t,-217,1,0.0009983974173665047
Sum of contribution of events ≤ t,-217,1,0.12456771942600608
Sum of contribution of events > t,-218,1,0.0010052881743758918
Sum of contribution of events ≤ t,-218,1,0.1245234950017184
Sum of contribution of events > t,-219,1,0.001013626279309392
Sum of contribution of events ≤ t,-219,1,0.12447960564680398
Sum of contribution of events > t,-220,1,0.0010233321953564882
Sum of contribution of events ≤ t,-220,1,0.12443605493567884
Sum of contribution of events > t,-221,1,0.001034302357584238
Sum of contribution of events ≤ t,-221,1,0.12439284509047865
Sum of contribution of events > t,-222,1,0.001046432888135314
Sum of contribution of events ≤ t,-222,1,0.12434998427890241
Sum of contribution of events > t,-223,1,0.0010596274603158235
Sum of contribution of events ≤ t,-223,1,0.12430748054943978
Sum of contribution of events > t,-224,1,0.001073826938867569
Sum of contribution of events ≤ t,-224,1,0.12426532416418194
Sum of contribution of events > t,-225,1,0.001088948093354702
Sum of contribution of events ≤ t,-225,1,0.12422353136911989
Sum of contribution of events > t,-226,1,0.0011048692129552364
Sum of contribution of events ≤ t,-226,1,0.12418209541589022
Sum of contribution of events > t,-227,1,0.0011215881481766701
Sum of contribution of events ≤ t,-227,1,0.12414102179557085
Sum of contribution of events > t,-228,1,0.001138982441276312
Sum of contribution of events ≤ t,-228,1,0.12410031821206212
Sum of contribution of events > t,-229,1,0.0011570446286350488
Sum of contribution of events ≤ t,-229,1,0.12405996957980096
Sum of contribution of events > t,-230,1,0.001175653949379921
Sum of contribution of events ≤ t,-230,1,0.1240199933797121
Sum of contribution of events > t,-231,1,0.0011948538031429053
Sum of contribution of events ≤ t,-231,1,0.123980379069224
Sum of contribution of events > t,-232,1,0.0012145178504288196
Sum of contribution of events ≤ t,-232,1,0.12394113009423018
Sum of contribution of events > t,-233,1,0.0012346111424267293
Sum of contribution of events ≤ t,-233,1,0.12390224861353635
Sum of contribution of events > t,-234,1,0.001255104135721922
Sum of contribution of events ≤ t,-234,1,0.1238637331277132
Sum of contribution of events > t,-235,1,0.0012759878728538752
Sum of contribution of events ≤ t,-235,1,0.12382558620907366
Sum of contribution of events > t,-236,1,0.0012971872165799142
Sum of contribution of events ≤ t,-236,1,0.12378780874982476
Sum of contribution of events > t,-237,1,0.0013186769969761372
Sum of contribution of events ≤ t,-237,1,0.12375038897991181
Sum of contribution of events > t,-238,1,0.0013404255770146846
Sum of contribution of events ≤ t,-238,1,0.12371333435922861
Sum of contribution of events > t,-239,1,0.001362403228878975
Sum of contribution of events ≤ t,-239,1,0.12367664435505867
Sum of contribution of events > t,-240,1,0.0013845850024372338
Sum of contribution of events ≤ t,-240,1,0.12364031453989446
Sum of contribution of events > t,-241,1,0.0014069447629153728
Sum of contribution of events ≤ t,-241,1,0.12360434447601437
Sum of contribution of events > t,-242,1,0.0014294505305588246
Sum of contribution of events ≤ t,-242,1,0.12356873991712927
Sum of contribution of events > t,-243,1,0.001452084569260478
Sum of contribution of events ≤ t,-243,1,0.12353349081613123
Sum of contribution of events > t,-244,1,0.0014748352076858282
Sum of contribution of events ≤ t,-244,1,0.12349859994091093
Sum of contribution of events > t,-245,1,0.0014976962208747863
Sum of contribution of events ≤ t,-245,1,0.12346406489610671
Sum of contribution of events > t,-246,1,0.0015206224750727415
